instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
USDT-SGD,SPOT,USDT,SGD,,,,,,,1734678000000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.285,1628.336,1.2869,4681.567,1.2846,38922.621,1.2851,1.295,1.2832,780910.3448301,607011.18,1.2875,1.287,1755693510919,,,,
USDC-SGD,SPOT,USDC,SGD,,,,,,,1734678600000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.2888,1994.103,1.2866,6992.35,1.2838,1002.492,1.2807,1.2891,1.2807,245207.8575885,190306.574,1.2873,1.2866,1755693510912,,,,
BTC-AUD,SPOT,BTC,AUD,,,,,,,1723782600000,,0.1,0.0000001,0.0001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,175954.1,0.0011455,176831.5,0.0043866,176515.1,0.0452,178134.2,178134.2,174612.1,58391.91559372,0.3316817,175782.1,176325.7,1755693509815,,,,
ETH-AUD,SPOT,ETH,AUD,,,,,,,1723784400000,,0.1,0.0000001,0.0001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,6510,0.0163151,6516.9,0.25,6509.4,0.25,6630,6649.1,6333,112546.32200873,17.4101209,6356.6,6458.4,1755693509413,,,,
SOL-AUD,SPOT,SOL,AUD,,,,,,,1733798100000,,0.01,0.000001,0.001,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,282,0.072507,282.44,2,282.1,2.750088,280.94,282.85,273.06,28164.66196765,101.38365,274.64,275,1755693510810,,,,
XRP-AUD,SPOT,XRP,AUD,,,,,,,1733798400000,,0.0001,0.0001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,4.46,10,4.5026,250,4.4931,172.6647,4.6462,4.6823,4.43,18956.82328608,4216.4739,4.4756,4.5323,1755693510906,,,,
TRUMP-AUD,SPOT,TRUMP,AUD,,,,,,,1737543000000,,0.001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,13.519,3.6987,13.663,11.3562,13.628,11.3853,13.945,13.945,13.519,50.0027253,3.6987,13.519,13.519,1755693507915,,,,
USDT-AUD,SPOT,USDT,AUD,,,,,,,1723779000000,,0.0001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.5543,166.3558,1.5542,2000,1.5536,41194.6446,1.5401,1.5574,1.5401,263684.16899241,170138.9972,1.5486,1.5473,1755693506652,,,,
USDC-AUD,SPOT,USDC,AUD,,,,,,,1723780800000,,0.0001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.555,125.4019,1.5544,500,1.5518,500,1.5414,1.5581,1.5414,3930.81323688,2529.4511,1.5527,1.5527,1755693510710,,,,
BTC-AED,SPOT,BTC,AED,,,,,,,1726545900000,,1,0.000000001,0.000001,,999999999,1000000,999999999.0000000000000000,999999999.0000000000000000,999999999.0000000000000000,1000000,418192,0.000645151,418172,0.026349683,417913,0.048337692,424387,425788,413788,747477.770096542,1.788282078,414501,418154,1755693504415,,,,
ETH-AED,SPOT,ETH,AED,,,,,,,1726546200000,,0.1,0.00000001,0.00001,,9999999999,1000000,9999999999.0000000000000000,9999999999.0000000000000000,9999999999.0000000000000000,1000000,15349.9,0.01185037,15419.5,0.71459515,15402.3,0.71539315,15818.9,15941.2,14937.6,1368335.611231647,89.1740423,14987.5,15398.2,1755693507014,,,,
