instId,instType,baseCcy,quoteCcy,settleCcy,minSz,lotSz,tickSz,last,vol24h,minOrderValueUSD
USDT-SGD,SPOT,USDT,SGD,,1,0.001,0.0001,1.285,607011.18,1.28
USDC-SGD,SPOT,USDC,SGD,,1,0.001,0.0001,1.2888,190306.574,1.29
BTC-AUD,SPOT,BTC,AUD,,0.0001,0.0000001,0.1,176703.3,0.3511044,17.67
ETH-AUD,SPOT,ETH,AUD,,0.0001,0.0000001,0.1,6521.1,17.4891723,0.65
SOL-AUD,SPOT,SOL,AUD,,0.001,0.000001,0.01,282,101.38365,0.28
XRP-AUD,SPOT,XRP,AUD,,0.1,0.0001,0.0001,4.46,4216.4739,0.45
TRUMP-AUD,SPOT,TRUMP,AUD,,0.1,0.0001,0.001,13.519,3.6987,1.35
USDT-AUD,SPOT,USDT,AUD,,0.1,0.0001,0.0001,1.5543,169814.3851,0.16
USDC-AUD,SPOT,USDC,AUD,,0.1,0.0001,0.0001,1.555,2529.4511,0.16
BTC-AED,SPOT,BTC,AED,,0.000001,0.000000001,1,418191,1.721311114,0.42
ETH-AED,SPOT,ETH,AED,,0.00001,0.00000001,0.1,15349.9,89.15836984,0.15
SOL-AED,SPOT,SOL,AED,,0.001,0.0000001,0.1,664.8,318.2282239,0.66
XRP-AED,SPOT,XRP,AED,,0.1,0.0001,0.001,10.662,55414.6455,1.07
TRUMP-AED,SPOT,TRUMP,AED,,0.1,0.0001,0.01,32.02,11.8139,3.20
USDT-AED,SPOT,USDT,AED,,0.1,0.0001,0.001,3.676,875647.6078,0.37
BTC-BRL,SPOT,BTC,BRL,,0.0001,0.00000001,1,623650,1.13763708,62.37
ETH-BRL,SPOT,ETH,BRL,,0.001,0.0000001,0.1,23008.8,26.4548058,23.01
SOL-BRL,SPOT,SOL,BRL,,0.001,0.000001,0.1,998.8,174.242427,1.00
XRP-BRL,SPOT,XRP,BRL,,0.1,0.00001,0.001,15.912,18913.01616,1.59
PI-BRL,SPOT,PI,BRL,,1,0.001,0.001,1.933,88980.165,1.93
PEPE-BRL,SPOT,PEPE,BRL,,100000,1,0.00000001,0.00005684,1635180162,5.68
TRUMP-BRL,SPOT,TRUMP,BRL,,0.1,0.0001,0.01,48.54,547.0637,4.85
USDT-BRL,SPOT,USDT,BRL,,1,0.00001,0.001,5.485,1234258.95033,5.49
USDC-BRL,SPOT,USDC,BRL,,1,0.00001,0.001,5.481,97443.5861,5.48
BTC-EUR,SPOT,BTC,EUR,,0.0001,0.00000001,0.1,97554.7,172.64139718,9.76
ETH-EUR,SPOT,ETH,EUR,,0.001,0.000001,0.01,3607.5,5248.480322,3.61
SOL-EUR,SPOT,SOL,EUR,,0.01,0.000001,0.01,156.03,15924.166095,1.56
TON-EUR,SPOT,TON,EUR,,0.1,0.0001,0.001,2.787,3254.274,0.28
DOGE-EUR,SPOT,DOGE,EUR,,10,0.000001,0.00001,0.1842,1457644.43436,1.84
XRP-EUR,SPOT,XRP,EUR,,1,0.0001,0.0001,2.4864,1687854.3755,2.49
PI-EUR,SPOT,PI,EUR,,1,0.001,0.0001,0.3003,245503.357,0.30
1INCH-EUR,SPOT,1INCH,EUR,,10,0.000001,0.0001,0.2129,6805.534459,2.13
AAVE-EUR,SPOT,AAVE,EUR,,0.01,0.000001,0.01,247.23,21.680902,2.47
ADA-EUR,SPOT,ADA,EUR,,10,0.0001,0.0001,0.7397,572236.0065,7.40
ALGO-EUR,SPOT,ALGO,EUR,,10,0.001,0.0001,0.2082,8534.03,2.08
APE-EUR,SPOT,APE,EUR,,1,0.0001,0.0001,0.515,2656.8346,0.52
APT-EUR,SPOT,APT,EUR,,0.1,0.00001,0.001,3.747,1769.04107,0.37
ARB-EUR,SPOT,ARB,EUR,,1,0.0001,0.0001,0.4188,42799.278,0.42
ASTR-EUR,SPOT,ASTR,EUR,,10,0.001,0.00001,0.02023,2593.806,0.20
ATOM-EUR,SPOT,ATOM,EUR,,0.1,0.00001,0.001,3.749,1269.34649,0.37
AVAX-EUR,SPOT,AVAX,EUR,,0.1,0.000001,0.001,19.679,523.411922,1.97
AXS-EUR,SPOT,AXS,EUR,,1,0.00001,0.001,1.949,2783.98575,1.95
BAL-EUR,SPOT,BAL,EUR,,1,0.000001,0.0001,1.0929,8288.610523,1.09
BAT-EUR,SPOT,BAT,EUR,,10,0.000001,0.0001,0.1283,532.904078,1.28
CHZ-EUR,SPOT,CHZ,EUR,,10,0.001,0.00001,0.03388,28961.563,0.34
