instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
USDT-SGD,SPOT,USDT,SGD,,,,,,,1734678000000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.285,1628.336,1.2868,4342.111,1.2845,38925.652,1.2851,1.295,1.2832,780910.3448301,607011.18,1.2875,1.287,1755694245609,1.28
USDC-SGD,SPOT,USDC,SGD,,,,,,,1734678600000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.2888,1994.103,1.2865,6596.88,1.2838,1002.492,1.2807,1.2891,1.2807,245207.8575885,190306.574,1.2873,1.2866,1755694245619,1.29
BTC-AUD,SPOT,BTC,AUD,,,,,,,1723782600000,,0.1,0.0000001,0.0001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,176703.3,0.0004227,176855,0.05,176562.3,0.0452,178134.2,178134.2,174612.1,61825.25938177,0.3511044,175782.1,176325.7,1755694243611,17.67
ETH-AUD,SPOT,ETH,AUD,,,,,,,1723784400000,,0.1,0.0000001,0.0001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,6521.1,0.015308,6534.2,0.7125126,6529.4,0.7130364,6630,6649.1,6333,113061.70023897,17.4891723,6356.6,6458.4,1755694245019,0.65
SOL-AUD,SPOT,SOL,AUD,,,,,,,1733798100000,,0.01,0.000001,0.001,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,282,0.072507,282.74,2.744394,282.49,2.746822,280.94,282.85,273.06,28164.66196765,101.38365,274.64,275,1755694244517,0.28
XRP-AUD,SPOT,XRP,AUD,,,,,,,1733798400000,,0.0001,0.0001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,4.46,10,4.5082,665,4.5007,172.4065,4.6462,4.6823,4.43,18956.82328608,4216.4739,4.4756,4.5323,1755694244811,0.45
TRUMP-AUD,SPOT,TRUMP,AUD,,,,,,,1737543000000,,0.001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,13.519,3.6987,13.68,11.3442,13.653,11.3674,13.945,13.945,13.519,50.0027253,3.6987,13.519,13.519,1755694244822,1.35
USDT-AUD,SPOT,USDT,AUD,,,,,,,1723779000000,,0.0001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.5543,166.3558,1.5547,2000,1.554,2500,1.5403,1.5574,1.5403,263184.16897478,169814.3851,1.5486,1.5473,1755694245610,0.16
USDC-AUD,SPOT,USDC,AUD,,,,,,,1723780800000,,0.0001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.555,125.4019,1.5546,500,1.5523,500,1.5414,1.5581,1.5414,3930.81323688,2529.4511,1.5527,1.5527,1755694245523,0.16
BTC-AED,SPOT,BTC,AED,,,,,,,1726545900000,,1,0.000000001,0.000001,,999999999,1000000,999999999.0000000000000000,999999999.0000000000000000,999999999.0000000000000000,1000000,418191,0.003026282,418082,0.026356073,417899,0.048340627,423831,425788,413788,719041.697519566,1.721311114,414501,418154,1755694243813,0.42
