instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
BTC-USD-SWAP,SWAP,,,BTC,100,1,USD,,,1535424203000,,0.1,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,113760,2,113758.1,3036,113758,2829,115481.9,115859.9,112511,9532.1347,10834616,112819.6,113737.9,1755693510913,,,,
ETH-USD-SWAP,SWAP,,,ETH,10,1,USD,,,1545378827000,,0.01,1,1,,100000000,300000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,300000,4194.19,2,4193.91,265,4193.9,4630,4303.21,4340,4061,277521.3237,115915910,4073.6,4190.06,1755693511018,,,,
SOL-USD-SWAP,SWAP,,,SOL,10,1,USD,,,1637833825870,,0.01,1,1,,100000000,12000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,12000,181.64,2,181.7,232,181.69,241,182.11,183.35,175.6,388775.5001,6962820,176.21,177.86,1755693511018,,,,
DOGE-USD-SWAP,SWAP,,,DOGE,10,1,USD,,,1612256400000,,0.00001,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,0.21467,48,0.21458,36,0.21457,1005,0.21979,0.22237,0.20795,320808270.0311,6851131,0.2093,0.21435,1755693511006,,,,
XRP-USD-SWAP,SWAP,,,XRP,10,1,USD,,,1545378827000,,0.0001,1,1,,100000000,40000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,40000,2.8965,2,2.896,243,2.8959,410,3.0131,3.0374,2.8468,11993291.9037,3493789,2.8596,2.9285,1755693511006,,,,
ADA-USD-SWAP,SWAP,,,ADA,10,1,USD,,,1582888608000,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.8593,196,0.8591,304,0.859,34,0.9296,0.9318,0.835,24788542.7029,2149723,0.8458,0.8704,1755693511019,,,,
AVAX-USD-SWAP,SWAP,,,AVAX,10,1,USD,,,1637833836891,,0.001,1,1,,100000000,5000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,5000,22.902,2,22.904,14,22.9,13,23.204,23.479,22.231,82128.3527,186923,22.345,22.774,1755693511006,,,,
BCH-USD-SWAP,SWAP,,,BCH,10,1,USD,,,1545378827000,,0.1,1,1,,100000000,3000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,3000,552.1,2,551.9,596,551.7,120,567.7,568.1,545.5,3253.9191,180207,548.4,554.7,1755693509016,,,,
DOT-USD-SWAP,SWAP,,,DOT,10,1,USD,,,1599041571000,,0.001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,3.788,2,3.789,666,3.788,257,3.866,3.907,3.694,1174855.6486,442883,3.718,3.773,1755693511006,,,,
ETC-USD-SWAP,SWAP,,,ETC,10,1,USD,,,1545378827000,,0.01,1,1,,100000000,7000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,7000,20.87,2,20.87,301,20.86,432,21.39,21.51,20.39,113620.6479,236438,20.54,21.02,1755693510709,,,,
