instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
BTC-USD-SWAP,SWAP,,,BTC,100,1,USD,,,1535424203000,,0.1,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,113752,93,113753.9,3876,113753.8,1717,115318,115859.9,112511,9678.6119,11000604,112819.6,113737.9,1755694245816,113752.00
ETH-USD-SWAP,SWAP,,,ETH,10,1,USD,,,1545378827000,,0.01,1,1,,100000000,300000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,300000,4205.21,2,4205.5,290,4205.49,4267,4288.7,4340,4061,277513.185,115900110,4073.6,4190.06,1755694245913,4205.21
SOL-USD-SWAP,SWAP,,,SOL,10,1,USD,,,1637833825870,,0.01,1,1,,100000000,12000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,12000,181.84,83,181.85,82,181.84,496,181.5,183.35,175.6,390420.9873,6992711,176.21,177.86,1755694245719,181.84
DOGE-USD-SWAP,SWAP,,,DOGE,10,1,USD,,,1612256400000,,0.00001,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,0.21484,2,0.2148,293,0.21479,383,0.21935,0.22237,0.20795,314577596.4199,6714215,0.2093,0.21435,1755694245914,0.21
XRP-USD-SWAP,SWAP,,,XRP,10,1,USD,,,1545378827000,,0.0001,1,1,,100000000,40000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,40000,2.8999,2,2.8985,212,2.8984,790,3.0085,3.0374,2.8468,11961190.9192,3483888,2.8596,2.9285,1755694245914,2.90
ADA-USD-SWAP,SWAP,,,ADA,10,1,USD,,,1582888608000,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,0.8617,2,0.8612,661,0.8611,73,0.9254,0.9318,0.835,24819509.6407,2151704,0.8458,0.8704,1755694245926,0.86
AVAX-USD-SWAP,SWAP,,,AVAX,10,1,USD,,,1637833836891,,0.001,1,1,,100000000,5000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,5000,22.962,2,22.961,16,22.96,2,23.148,23.479,22.231,82128.8887,186917,22.345,22.774,1755694245918,22.96
BCH-USD-SWAP,SWAP,,,BCH,10,1,USD,,,1545378827000,,0.1,1,1,,100000000,3000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,3000,551.9,10,552.1,166,552,275,566.2,567.4,545.5,3216.4452,178069,548.4,554.7,1755694245808,551.90
DOT-USD-SWAP,SWAP,,,DOT,10,1,USD,,,1599041571000,,0.001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,3.796,2,3.796,1560,3.795,509,3.862,3.907,3.694,1176279.7266,443415,3.718,3.773,1755694245914,3.80
ETC-USD-SWAP,SWAP,,,ETC,10,1,USD,,,1545378827000,,0.01,1,1,,100000000,7000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,7000,20.9,27,20.92,99,20.91,403,21.35,21.51,20.39,114115.5358,237470,20.54,21.02,1755694244922,20.90
